personid,demo_sex,state,turnout_score,support_score,ev_score,vbm_score,gotv_score,voted_2018,demo_ethnicity
41,Male,AK,0.9487,0.7833,0.0986,0.626,0.5221,false,American Indian and Alaska Native (AIAN)
42,Female,FL,0.4306,0.7283,0.114,0.9855,0.4575,true,Menominee
43,Female,TX,0.8247,0.5676,0.3258,0.8655,0.9545,false,Apache
44,Female,CO,0.3059,0.6537,0.9246,0.5143,0.8721,true,Filipino
45,Male,FL,0.8367,0.1521,0.6692,0.0983,0.0657,true,American Indian and Alaska Native (AIAN)
46,Female,NJ,0.9509,0.3825,0.6824,0.6361,0.8908,false,Taiwanese
47,Female,DC,0.6605,0.6232,0.959,0.3558,0.2898,false,Guamanian
48,Male,OH,0.0977,0.9038,0.1682,0.9556,0.3979,false,Guamanian
49,Male,TX,0.3536,0.1813,0.0419,0.3037,0.8888,true,Samoan
50,Male,GA,0.9482,0.1144,0.671,0.2731,0.9323,false,Potawatomi
51,Male,IL,0.1153,0.2372,0.4263,0.1585,0.8264,true,Asian
52,Male,OH,0.2815,0.6024,0.5407,0.0024,0.7645,true,Crow
53,Female,CA,0.8963,0.3315,0.089,0.7339,0.4828,false,Pima
54,Female,NY,0.6516,0.6791,0.4583,0.2697,0.9757,true,Paiute
55,Female,TX,0.2778,0.3869,0.7839,0.0533,0.546,false,Asian
56,Female,KS,0.3615,0.6455,0.629,0.1828,0.1911,true,Korean
57,Male,KY,0.951,0.0006,0.7521,0.2422,0.3163,true,Japanese
58,Male,IL,0.3749,0.6709,0.9912,0.8166,0.7841,false,Blackfeet
59,Male,KY,0.0947,0.1615,0.2106,0.7418,0.1088,false,Choctaw
60,Male,CA,0.4587,0.6877,0.9169,0.7776,0.2176,true,Honduran
61,Male,NC,0.8028,0.3865,0.7652,0.4315,0.8453,true,Alaskan Athabascan
62,Male,OH,0.4347,0.5777,0.9879,0.6945,0.5128,true,Tohono O'Odham
63,Male,VA,0.1996,0.0496,0.8425,0.6359,0.3463,false,Micronesian
64,Male,CA,0.8855,0.1798,0.152,0.8973,0.0905,true,Osage
65,Male,MO,0.8444,0.5203,0.3202,0.5821,0.3349,false,Chilean
66,Female,VA,0.9077,0.8614,0.5808,0.1052,0.2908,false,Alaska Native
67,Male,NH,0.7409,0.914,0.9578,0.3148,0.5577,true,Colombian
68,Female,FL,0.1188,0.9692,0.322,0.9653,0.4925,false,Japanese
69,Male,AL,0.7526,0.5953,0.8736,0.1964,0.5763,true,Sri Lankan
70,Female,CA,0.3247,0.4447,0.2763,0.2955,0.127,true,Colombian
71,Male,FL,0.0267,0.9033,0.3657,0.4895,0.2905,false,Cree
72,Male,TX,0.9885,0.2557,0.7184,0.5364,0.8099,true,Pueblo
73,Female,OH,0.8285,0.0202,0.5386,0.0263,0.5445,true,Kiowa
74,Male,TX,0.4248,0.8668,0.9725,0.6164,0.5683,true,Melanesian
75,Female,OH,0.0823,0.2544,0.1511,0.3777,0.6891,true,South American
76,Female,TX,0.8309,0.8429,0.6399,0.8828,0.3096,true,Yaqui
77,Male,OH,0.37,0.6231,0.5736,0.3658,0.0893,false,Venezuelan
78,Female,OH,0.7246,0.1601,0.4294,0.1095,0.1376,false,Ecuadorian
79,Female,TX,0.3954,0.7184,0.6024,0.6933,0.4607,true,Salvadoran
80,Male,CA,0.1539,0.3396,0.3275,0.4531,0.2394,true,Blackfeet
81,Female,MI,0.1151,0.6159,0.4755,0.1892,0.6765,true,Korean
82,Male,OH,0.162,0.3569,0.3589,0.3373,0.7926,false,Alaska Native
83,Male,MA,0.2444,0.607,0.9661,0.3778,0.6477,false,Cambodian
84,Male,AZ,0.2492,0.0869,0.5512,0.0645,0.7742,true,Tongan
85,Male,IN,0.2586,0.118,0.4269,0.1005,0.4841,false,Guatemalan
86,Female,CA,0.5546,0.4672,0.7386,0.4934,0.3499,false,Paraguayan
87,Female,MA,0.2071,0.0194,0.6142,0.1962,0.6882,true,Osage
88,Female,GA,0.5482,0.8892,0.8847,0.8411,0.4585,false,Bangladeshi
89,Female,DC,0.3851,0.9238,0.4631,0.4446,0.2761,true,Uruguayan
90,Male,OH,0.7655,0.9808,0.6387,0.7034,0.4837,false,Tongan
91,Male,NY,0.3218,0.1643,0.8463,0.627,0.5139,false,Menominee
92,Female,FL,0.2816,0.7268,0.8445,0.0128,0.9245,false,Cuban
93,Male,TX,0.2896,0.9235,0.2123,0.6049,0.0093,true,Native Hawaiian
94,Female,FL,0.7589,0.3496,0.8901,0.6086,0.5205,false,Polynesian
95,Female,TN,0.8611,0.5688,0.1418,0.5382,0.2901,false,Laotian
96,Male,CA,0.4642,0.8474,0.3164,0.3103,0.3541,false,Menominee
97,Male,TN,0.1225,0.5562,0.4316,0.4955,0.2212,true,Ute
98,Female,TX,0.218,0.5144,0.514,0.8646,0.0569,false,Filipino
99,Male,GA,0.0538,0.8137,0.2122,0.3622,0.4361,false,Micronesian
100,Female,KS,0.471,0.5235,0.2027,0.5813,0.7777,false,Pima
101,Male,DC,0.2343,0.0987,0.3326,0.208,0.9761,true,Houma
102,Female,FL,0.7817,0.757,0.26,0.1238,0.9916,false,Guatemalan
103,Female,GA,0.1424,0.2713,0.084,0.8988,0.7348,true,Navajo
104,Female,MN,0.7028,0.4898,0.4789,0.3039,0.3992,true,Chinese
105,Male,PA,0.5457,0.0444,0.3882,0.1856,0.8203,false,Mexican
106,Female,NJ,0.1173,0.3452,0.8672,0.984,0.6399,false,Puerto Rican
107,Male,NJ,0.2236,0.8372,0.3071,0.7115,0.3074,false,Iroquois
108,Male,NY,0.5557,0.8828,0.0183,0.874,0.4597,false,Guamanian
109,Female,FL,0.6817,0.8236,0.1796,0.7669,0.5017,true,Comanche
110,Male,TX,0.2153,0.9128,0.601,0.8205,0.3791,false,Ecuadorian
111,Male,MD,0.628,0.5703,0.3709,0.8537,0.8596,true,American Indian and Alaska Native (AIAN)
112,Female,MS,0.8395,0.9241,0.1815,0.5772,0.5665,true,White
113,Female,DE,0.8609,0.6514,0.8675,0.2014,0.0997,false,Cherokee
114,Female,CA,0.5192,0.2731,0.053,0.8914,0.1015,false,Chamorro
115,Male,GA,0.2926,0.3001,0.7191,0.5871,0.0763,false,Puerto Rican
116,Male,CA,0.354,0.5683,0.0584,0.9627,0.2209,false,Korean
117,Male,CA,0.3964,0.406,0.9377,0.7467,0.923,true,Central American
118,Female,TX,0.2316,0.392,0.4076,0.8744,0.5072,false,Sri Lankan
119,Male,CT,0.7986,0.2899,0.2902,0.9047,0.0885,false,Peruvian
120,Female,CT,0.5774,0.0624,0.935,0.1895,0.8068,false,Bolivian
121,Female,CA,0.8517,0.824,0.015,0.2902,0.0043,false,Filipino
122,Male,AK,0.182,0.8195,0.5902,0.2007,0.1852,true,Cherokee
123,Male,NY,0.4433,0.5097,0.5895,0.2366,0.6457,false,Korean
124,Male,CA,0.7833,0.2986,0.0898,0.9437,0.8225,false,Tlingit-Haida
125,Male,CA,0.1437,0.0139,0.7309,0.6065,0.4881,false,Bolivian
126,Male,TX,0.7176,0.1734,0.3628,0.3429,0.8627,false,Chilean
127,Male,MO,0.8859,0.5828,0.6841,0.618,0.8356,false,Dominican (Dominican Republic)
128,Male,CA,0.9788,0.4009,0.3135,0.0904,0.5239,true,Osage
129,Female,FL,0.8939,0.5218,0.6805,0.3308,0.7722,false,Nicaraguan
130,Female,FL,0.3838,0.8731,0.5904,0.786,0.6552,false,Potawatomi
131,Female,CA,0.418,0.1921,0.4813,0.1226,0.8933,true,Asian Indian
132,Female,NY,0.8241,0.7541,0.063,0.3997,0.0648,true,Hmong
133,Female,NJ,0.8905,0.7693,0.1538,0.8807,0.911,false,Cambodian
134,Male,WI,0.9606,0.7332,0.5012,0.4765,0.6944,false,Menominee
135,Female,FL,0.9144,0.4229,0.7466,0.0044,0.6709,false,Cambodian
136,Male,LA,0.3411,0.8174,0.084,0.8902,0.7049,true,Alaska Native
137,Female,NV,0.1859,0.3173,0.3579,0.942,0.5346,true,Cuban
138,Male,NY,0.3694,0.7634,0.038,0.0991,0.8856,false,South American
139,Female,TN,0.3984,0.2103,0.3655,0.9472,0.6242,true,Colville
140,Male,TX,0.4254,0.0125,0.4587,0.2212,0.8584,true,Osage
141,Female,ID,0.5585,0.4002,0.4993,0.9696,0.238,true,Guamanian
142,Female,AZ,0.9509,0.6695,0.3485,0.094,0.6755,false,Cuban
143,Male,PA,0.9634,0.6448,0.7557,0.3924,0.2276,true,Bolivian
144,Male,CO,0.0694,0.4948,0.5535,0.8841,0.7794,false,Uruguayan
145,Female,CO,0.8611,0.4288,0.4042,0.4933,0.7478,false,Puget Sound Salish
146,Female,DC,0.1138,0.5499,0.5129,0.9998,0.7748,false,Samoan
147,Male,LA,0.7974,0.1127,0.6925,0.5247,0.672,false,Menominee
148,Male,CA,0.3012,0.8762,0.6233,0.8126,0.4951,true,Yakama
149,Female,OH,0.157,0.9322,0.3142,0.3241,0.9913,true,Mexican
150,Female,NV,0.454,0.5809,0.1043,0.92,0.3703,true,Choctaw
151,Female,MO,0.5825,0.546,0.203,0.7779,0.7197,false,Asian Indian
152,Male,IN,0.4962,0.7846,0.7543,0.3846,0.897,false,Pueblo
153,Female,CA,0.9775,0.5589,0.4421,0.1526,0.2897,false,Blackfeet
154,Male,OH,0.0448,0.6062,0.9015,0.0962,0.693,false,Yaqui
155,Female,NE,0.5207,0.6928,0.9333,0.4951,0.1538,true,Crow
156,Female,WA,0.1819,0.7866,0.0438,0.7077,0.9727,false,Navajo
157,Male,CT,0.0255,0.0131,0.0996,0.8976,0.7115,false,Pima
158,Female,TX,0.5018,0.963,0.8549,0.5092,0.5829,true,Chinese
159,Female,TX,0.495,0.9865,0.2836,0.9652,0.0921,false,Malaysian
160,Female,TX,0.6482,0.5102,0.2071,0.7739,0.778,false,Korean
161,Male,NC,0.4166,0.5569,0.1905,0.339,0.1799,true,Colville
162,Female,FL,0.3802,0.2934,0.7738,0.0649,0.9685,false,Nicaraguan
163,Male,TX,0.755,0.4293,0.4588,0.5307,0.5417,true,Yaqui
164,Male,MI,0.0825,0.6675,0.3906,0.4634,0.4019,true,Ottawa
165,Female,CT,0.6011,0.9261,0.1311,0.6615,0.245,true,Yuman
166,Male,WA,0.6576,0.1074,0.1908,0.2839,0.0524,true,Melanesian
167,Male,MO,0.2798,0.8559,0.7929,0.1103,0.6736,false,Sri Lankan
168,Female,LA,0.5475,0.9445,0.5056,0.3396,0.524,true,Eskimo
169,Male,NV,0.9176,0.6002,0.7403,0.1442,0.7231,true,Yakama
170,Female,IN,0.4963,0.0826,0.6937,0.8419,0.4667,true,Cambodian
171,Female,WA,0.8426,0.8004,0.054,0.5562,0.7225,false,Colville
172,Male,TN,0.0414,0.2914,0.4249,0.4659,0.2626,true,Pakistani
173,Female,CA,0.6908,0.4077,0.7702,0.575,0.8668,false,Central American
174,Male,FL,0.3372,0.742,0.2828,0.2639,0.5413,true,Micronesian
175,Male,MA,0.0077,0.815,0.2875,0.2938,0.7224,false,Malaysian
176,Male,FL,0.6464,0.981,0.1594,0.4582,0.8293,true,Melanesian
177,Female,MD,0.582,0.3138,0.814,0.5618,0.0147,false,Dominican (Dominican Republic)
178,Male,CA,0.0621,0.7981,0.0101,0.3061,0.941,false,Filipino
179,Male,AL,0.3992,0.6821,0.2106,0.6614,0.2404,false,Lumbee
180,Female,VA,0.6769,0.6222,0.0086,0.8213,0.07,false,Cuban
181,Male,AL,0.3503,0.2907,0.114,0.4829,0.3868,true,American Indian and Alaska Native (AIAN)
182,Male,WV,0.8039,0.7997,0.4067,0.7105,0.807,true,Chippewa
183,Male,MD,0.5811,0.0434,0.8353,0.5519,0.4011,true,Chippewa
184,Female,WA,0.4202,0.6177,0.9087,0.9744,0.1776,false,Crow
185,Female,CA,0.5646,0.8231,0.5184,0.7957,0.0495,true,American Indian and Alaska Native (AIAN)
186,Male,MN,0.6489,0.4984,0.1246,0.5083,0.5646,true,Taiwanese
187,Female,NJ,0.6482,0.4729,0.7098,0.3626,0.6014,false,Korean
188,Female,FL,0.8909,0.9653,0.7672,0.8295,0.6951,false,Choctaw
189,Male,TX,0.8378,0.3012,0.8276,0.9962,0.5846,false,Lumbee
190,Female,NJ,0.7269,0.4607,0.0964,0.2053,0.5738,true,Panamanian
191,Female,LA,0.6606,0.5259,0.2006,0.5804,0.5083,false,Salvadoran
192,Male,MN,0.9404,0.6775,0.0118,0.615,0.1598,true,Cambodian
193,Male,WV,0.032,0.3816,0.5777,0.044,0.2873,false,Delaware
194,Female,AL,0.6093,0.9491,0.8719,0.5995,0.1653,false,Asian
195,Female,GA,0.8463,0.7175,0.2587,0.957,0.8783,false,Seminole
196,Female,NV,0.6396,0.4361,0.8098,0.7147,0.6444,false,Delaware
197,Female,NC,0.383,0.2217,0.6887,0.1316,0.1066,false,Eskimo
198,Female,FL,0.7108,0.183,0.8409,0.4745,0.1517,true,Costa Rican
199,Female,CA,0.0451,0.9176,0.3361,0.123,0.4388,true,Salvadoran
200,Female,CA,0.5113,0.0372,0.1274,0.0217,0.2363,true,Paiute
201,Female,AZ,0.3782,0.2935,0.088,0.523,0.2924,true,Chamorro
202,Male,IA,0.1812,0.6624,0.7293,0.6629,0.4405,true,Polynesian
203,Male,CA,0.0633,0.7078,0.4986,0.1141,0.002,true,American Indian and Alaska Native (AIAN)
204,Female,PA,0.0165,0.0682,0.2464,0.4138,0.3491,true,Venezuelan
205,Male,TN,0.8703,0.6067,0.6601,0.55,0.9876,false,Bolivian
206,Male,CO,0.7009,0.2706,0.3254,0.4208,0.2007,false,Mexican
207,Male,CA,0.2666,0.5378,0.4548,0.9375,0.4749,false,Cree
208,Male,KS,0.4598,0.814,0.4121,0.1341,0.2138,false,Crow
209,Male,WI,0.9891,0.8589,0.1679,0.0617,0.7068,false,Chamorro
210,Female,MA,0.1012,0.9673,0.0772,0.2427,0.7931,true,Sri Lankan
211,Male,FL,0.8656,0.6094,0.366,0.4634,0.1629,true,Argentinian
212,Male,SC,0.074,0.2378,0.1331,0.5127,0.2477,false,Comanche
213,Female,CA,0.8851,0.7392,0.3744,0.3901,0.3398,true,Native Hawaiian and Other Pacific Islander (NHPI)
214,Female,TN,0.0282,0.2431,0.047,0.9607,0.9036,false,Alaskan Athabascan
215,Female,TX,0.3444,0.5609,0.2735,0.7131,0.9542,true,Comanche
216,Female,TX,0.3314,0.7667,0.4801,0.9089,0.5719,true,Sioux
217,Female,CA,0.2341,0.7483,0.7292,0.5927,0.7565,true,Pueblo
218,Female,FL,0.7167,0.8153,0.8821,0.7122,0.5978,true,Seminole
219,Female,PA,0.7436,0.0661,0.8302,0.4055,0.3044,false,Spaniard
220,Female,CA,0.8899,0.6163,0.9656,0.1528,0.7061,false,Chippewa
221,Female,OH,0.1546,0.7707,0.9659,0.5486,0.9952,false,Native Hawaiian
222,Male,MD,0.3333,0.8132,0.6283,0.8027,0.959,true,Native Hawaiian and Other Pacific Islander (NHPI)
223,Female,DC,0.5356,0.5688,0.3737,0.3722,0.0125,false,American Indian and Alaska Native (AIAN)
224,Male,IL,0.0406,0.6609,0.9602,0.4288,0.6678,false,Lumbee
225,Female,NC,0.4239,0.1685,0.4329,0.4718,0.5094,true,Paraguayan
226,Female,TN,0.4694,0.9704,0.2312,0.2857,0.5471,true,Delaware
227,Male,CA,0.4308,0.1487,0.6074,0.2964,0.8747,true,Choctaw
228,Male,CA,0.3838,0.0133,0.1091,0.1383,0.0436,true,Seminole
229,Female,LA,0.8577,0.2753,0.1832,0.2755,0.2401,true,Korean
230,Male,TX,0.5478,0.8069,0.314,0.8797,0.0828,true,Lumbee
231,Female,MO,0.0707,0.9364,0.8419,0.3783,0.3561,false,Alaska Native
232,Male,FL,0.8213,0.8707,0.4275,0.816,0.8778,true,Osage
233,Male,GA,0.4449,0.6473,0.2391,0.1125,0.8598,false,Yakama
234,Male,TN,0.2156,0.9565,0.7516,0.5572,0.2164,true,Salvadoran
235,Female,IL,0.1052,0.5467,0.5586,0.6796,0.4982,false,Yuman
236,Male,MI,0.974,0.3404,0.6147,0.838,0.8903,false,Salvadoran
237,Female,FL,0.5743,0.9689,0.6498,0.6264,0.8711,true,Sri Lankan
238,Male,MI,0.5306,0.4044,0.7641,0.7369,0.3019,false,Cuban
239,Female,CA,0.5707,0.7442,0.5226,0.1073,0.9083,false,Shoshone
240,Female,TX,0.283,0.261,0.7203,0.8354,0.5835,true,Nicaraguan
241,Female,IN,0.2609,0.665,0.7245,0.0862,0.3401,false,Mexican
242,Female,WV,0.2196,0.3283,0.1037,0.6879,0.266,false,Korean
243,Female,LA,0.5128,0.2699,0.2467,0.857,0.9523,true,Paiute
244,Female,KY,0.8514,0.2739,0.8481,0.0318,0.2766,false,Colombian
245,Female,GA,0.9797,0.3911,0.3018,0.3338,0.5052,true,Chilean
246,Male,SC,0.355,0.0489,0.4956,0.0453,0.1172,true,Spaniard
247,Female,KS,0.0612,0.1788,0.2033,0.4267,0.2387,true,Tlingit-Haida
248,Male,CA,0.3299,0.1434,0.7088,0.9629,0.3799,false,Spaniard
249,Female,CA,0.6922,0.0442,0.3013,0.9086,0.9387,true,Polynesian
250,Male,AK,0.6284,0.7973,0.4317,0.522,0.2762,false,Chilean
251,Female,MI,0.9494,0.6114,0.2221,0.9578,0.2112,true,Guatemalan
252,Female,TX,0.2236,0.5812,0.7438,0.5547,0.2108,true,Native Hawaiian
253,Male,GA,0.9784,0.9861,0.012,0.5287,0.0159,true,Alaska Native
254,Female,MN,0.1439,0.1411,0.3815,0.6008,0.202,false,Eskimo
255,Female,AL,0.8456,0.2411,0.9809,0.3609,0.48,true,Paiute
256,Female,UT,0.5914,0.0605,0.1866,0.5169,0.824,true,Japanese
257,Male,MD,0.8156,0.0652,0.9025,0.5708,0.7994,false,Crow
258,Female,MN,0.3985,0.4027,0.419,0.0963,0.0984,true,Delaware
259,Female,AZ,0.0062,0.6253,0.2199,0.0055,0.3795,false,Cheyenne
260,Male,SD,0.0148,0.7324,0.1093,0.1207,0.592,false,Spaniard
261,Male,MA,0.6903,0.4142,0.9731,0.13,0.8052,false,Alaska Native
262,Male,AL,0.2872,0.3621,0.4545,0.0383,0.2322,true,Fijian
263,Female,TN,0.5875,0.61,0.7882,0.922,0.8111,false,Colville
264,Male,MO,0.9057,0.6102,0.6191,0.8673,0.4196,true,Sioux
265,Female,NC,0.5549,0.6747,0.6981,0.3555,0.3994,false,Dominican (Dominican Republic)
266,Male,CA,0.1128,0.2166,0.5202,0.8109,0.2457,true,Shoshone
267,Female,FL,0.762,0.4307,0.8046,0.4368,0.3555,true,Pima
268,Female,RI,0.8163,0.0084,0.7055,0.2696,0.2725,false,Lumbee
269,Female,GA,0.7974,0.7156,0.2697,0.6555,0.8765,true,Menominee
270,Female,PA,0.4712,0.9395,0.2326,0.9437,0.625,false,Cherokee
271,Female,ID,0.6396,0.9599,0.592,0.1813,0.2493,false,Native Hawaiian and Other Pacific Islander (NHPI)
272,Female,IN,0.6246,0.7813,0.0995,0.954,0.5699,false,Polynesian
273,Female,MO,0.2505,0.0823,0.7595,0.4481,0.0258,false,Spaniard
274,Female,FL,0.5571,0.2141,0.7961,0.8437,0.1306,false,Chinese
275,Female,VA,0.2036,0.4247,0.3008,0.4674,0.5452,true,Costa Rican
276,Female,NY,0.7067,0.9247,0.1641,0.0124,0.6284,true,Salvadoran
277,Male,MO,0.5194,0.2173,0.865,0.4039,0.263,true,Sri Lankan
278,Male,TN,0.5122,0.6005,0.0534,0.0397,0.6989,false,South American
279,Female,MI,0.3323,0.6185,0.0238,0.5126,0.5931,true,Cuban
280,Male,IL,0.6869,0.7434,0.8222,0.4416,0.2545,false,Yuman
281,Female,TN,0.7438,0.3933,0.9979,0.4448,0.5025,true,Ecuadorian
282,Female,OH,0.4056,0.6123,0.5912,0.2892,0.1186,true,Indonesian
283,Female,MO,0.0471,0.7994,0.9929,0.1518,0.2465,true,Vietnamese
284,Female,CA,0.4586,0.0815,0.0914,0.3672,0.1249,false,Comanche
285,Female,KY,0.6387,0.0394,0.0809,0.9967,0.911,false,Potawatomi
286,Male,MS,0.5943,0.1377,0.6347,0.4948,0.1432,false,Comanche
287,Male,NV,0.1831,0.2762,0.8628,0.4126,0.8639,true,Cheyenne
288,Male,AL,0.9369,0.5866,0.6462,0.2334,0.459,true,American Indian
289,Male,NV,0.6355,0.5498,0.0178,0.5462,0.4585,true,Tohono O'Odham
290,Female,UT,0.405,0.2096,0.6164,0.4888,0.8784,false,Iroquois
291,Male,TX,0.337,0.729,0.7401,0.4559,0.4821,true,Japanese
292,Male,IL,0.7124,0.4614,0.2793,0.7689,0.4914,false,Colville
293,Female,MI,0.3192,0.9613,0.8736,0.4313,0.5052,true,Tongan
294,Male,CA,0.3768,0.6895,0.0082,0.44,0.2995,false,Cheyenne
295,Female,NV,0.5835,0.5068,0.8378,0.9065,0.0247,false,South American
296,Female,IN,0.5063,0.5311,0.0221,0.5883,0.7772,true,Bolivian
297,Male,MO,0.3471,0.4477,0.9573,0.2521,0.5323,true,Asian
298,Female,DC,0.7489,0.7128,0.5213,0.1951,0.9445,true,Chamorro
299,Female,IL,0.7157,0.094,0.2292,0.0178,0.8845,false,Mexican
300,Male,CO,0.9909,0.9792,0.1866,0.3903,0.5663,true,Chamorro
301,Female,DC,0.9727,0.9142,0.5315,0.2079,0.997,true,Alaska Native
302,Male,TX,0.6099,0.357,0.8356,0.3562,0.6774,true,Colville
303,Male,AZ,0.8598,0.8454,0.995,0.738,0.4967,false,Chickasaw
304,Male,GA,0.4746,0.1209,0.6559,0.7049,0.5384,true,Melanesian
305,Female,OK,0.8902,0.6028,0.1574,0.7297,0.1794,false,Cheyenne
306,Male,TX,0.1768,0.0687,0.6665,0.7028,0.4618,false,Iroquois
307,Male,WA,0.9702,0.6862,0.8905,0.0539,0.5074,true,Alaskan Athabascan
308,Female,FL,0.7707,0.9348,0.1977,0.9681,0.4995,false,Hmong
309,Female,FL,0.2421,0.3837,0.5446,0.7696,0.5291,false,Yakama
310,Female,DC,0.6675,0.8078,0.2094,0.4013,0.4408,true,Yuman
311,Male,LA,0.0658,0.7515,0.0441,0.3276,0.2259,false,Guatemalan
312,Female,NY,0.0725,0.4445,0.0375,0.0448,0.4337,true,Yakama
313,Male,VA,0.5876,0.7941,0.5555,0.7134,0.5943,true,Yakama
314,Female,NJ,0.4777,0.3274,0.1597,0.4308,0.6981,false,Puerto Rican
315,Female,SC,0.7629,0.8241,0.948,0.2331,0.9354,false,Taiwanese
316,Female,NV,0.072,0.2104,0.681,0.9952,0.8184,false,Peruvian
317,Female,MN,0.703,0.9993,0.5709,0.1,0.3273,true,Chickasaw
318,Female,OH,0.4016,0.8841,0.5364,0.6714,0.0107,true,Pakistani
319,Female,IL,0.5904,0.3891,0.1715,0.3526,0.2287,true,Guatemalan
320,Male,IN,0.8935,0.2978,0.4944,0.2033,0.0571,false,Tongan
321,Female,TX,0.9285,0.9019,0.9033,0.6618,0.8224,true,Choctaw
322,Female,CA,0.6077,0.9593,0.5961,0.5505,0.4715,false,Native Hawaiian
323,Male,NY,0.5653,0.0568,0.1447,0.2179,0.6161,true,Central American
324,Male,NJ,0.7321,0.9965,0.8591,0.8476,0.9149,false,Cree
325,Female,TX,0.541,0.6995,0.1977,0.177,0.3072,true,Ecuadorian
326,Female,FL,0.8915,0.9284,0.1978,0.5323,0.0924,true,Fijian
327,Female,VA,0.2465,0.1489,0.5097,0.5985,0.7793,false,Filipino
328,Female,CA,0.0341,0.1375,0.6044,0.902,0.3732,true,Malaysian
329,Male,KY,0.0299,0.2656,0.0951,0.6067,0.8777,true,Chinese
330,Female,FL,0.4878,0.2496,0.2595,0.9405,0.265,false,Japanese
331,Female,FL,0.5295,0.366,0.1125,0.7917,0.5391,true,Paiute
332,Female,AZ,0.5295,0.4152,0.7487,0.3633,0.0361,true,Costa Rican
333,Female,CA,0.6292,0.6098,0.4269,0.3077,0.9303,false,American Indian
334,Male,IL,0.3008,0.9799,0.022,0.5916,0.6176,false,Potawatomi
335,Male,AZ,0.9714,0.1498,0.2364,0.8296,0.3998,false,Lumbee
336,Female,TX,0.8704,0.1951,0.7194,0.6066,0.3813,false,Peruvian
337,Male,OH,0.2584,0.3489,0.5284,0.3499,0.5902,false,Indonesian
338,Male,WI,0.4476,0.3839,0.7192,0.1255,0.8054,false,Yuman
339,Male,CA,0.7736,0.8384,0.6682,0.0027,0.307,true,Yuman
